time	intensity	phase	power	power	bootstrap	bootstrap
-1667.814	0.000133246	0	4.21E-06	0	2.18E-05	0
-1661.3	7.47E-05	0	2.99E-06	0	1.82E-05	0
-1654.785	6.14E-06	0	1.19E-05	0	3.08E-06	0
-1648.27	3.15E-06	0	8.68E-06	0	6.12E-07	0
-1641.755	2.70E-06	0	3.46E-06	0	1.90E-06	0
-1635.24	1.24E-05	0	1.53E-06	0	2.93E-06	0
-1628.725	8.44E-06	0	1.91E-06	0	3.79E-06	0
-1622.21	2.78E-06	0	2.05E-06	0	4.51E-06	0
-1615.695	1.36E-06	0	3.09E-06	0	3.75E-06	0
-1609.18	2.07E-06	0	3.02E-06	0	3.73E-06	0
-1602.665	2.05E-06	0	2.79E-06	0	3.15E-06	0
-1596.151	3.18E-06	0	3.01E-06	0	1.63E-06	0
-1589.636	3.07E-06	0	3.83E-06	0	1.08E-06	0
-1583.121	2.73E-06	0	3.07E-06	0	2.44E-06	0
-1576.606	3.00E-06	0	2.30E-06	0	5.70E-06	0
-1570.091	3.97E-06	0	3.02E-06	0	6.59E-06	0
-1563.576	3.03E-06	0	4.33E-06	0	4.98E-06	0
-1557.061	2.12E-06	0	3.96E-06	0	4.64E-06	0
-1550.546	3.11E-06	0	4.03E-06	0	4.65E-06	0
-1544.031	4.62E-06	0	6.37E-06	0	3.73E-06	0
-1537.516	3.97E-06	0	9.98E-06	0	6.42E-06	0
-1531.002	3.98E-06	0	1.29E-05	0	1.59E-05	0
-1524.487	6.91E-06	0	1.73E-05	0	2.66E-05	0
-1517.972	1.09E-05	0	2.52E-05	0	3.09E-05	0
-1511.457	1.36E-05	0	3.51E-05	0	4.75E-05	0
-1504.942	1.80E-05	0	4.60E-05	0	7.22E-05	0
-1498.427	2.59E-05	0	6.51E-05	0	7.31E-05	0
-1491.912	3.54E-05	0	6.42E-05	0	4.07E-05	0
-1485.397	4.50E-05	0	4.88E-05	0	0.00014449	0
-1478.882	5.67E-05	0	0.00013322	0	4.33E-05	0
-1472.367	7.13E-05	0	0.00012703	0	0.00010139	0
-1465.853	8.73E-05	0	0.00013583	0	0.00013158	0
-1459.338	0.000104139	4.768014	0.00015532	0	0.00013626	0
-1452.823	0.000122575	4.842204	0.00017454	0	0.00019464	0
-1446.308	0.00014155	4.882121	0.00019361	0	0.00022107	0
-1439.793	0.000160579	4.925574	0.00021527	0	0.00024054	0
-1433.278	0.000180726	4.99826	0.00023535	0	0.00025628	0
-1426.763	0.000201152	5.070913	0.00025163	0	0.00025842	0
-1420.248	0.000218742	5.123399	0.00026752	0	0.00026154	0
-1413.733	0.000235045	5.181055	0.00028431	0	0.00027594	0
-1407.218	0.000253941	5.262223	0.00030091	0	0.00030032	0
-1400.704	0.00027297	5.345972	0.0003184	0	0.00032391	0
-1394.189	0.000287018	5.417695	0.00033841	0	0.00034479	0
-1387.674	0.000300625	5.49515	0.00035924	0	0.00036796	0
-1381.159	0.000321139	5.590254	0.00038252	0	0.00039825	0
-1374.644	0.000344236	5.68721	0.00041347	0	0.00043042	0
-1368.129	0.000362646	5.775902	0.00045039	0	0.0004616	0
-1361.614	0.000383954	5.866889	0.00048729	0	0.00049841	0
